frameIndex;frameTime;mfcc_sma[1];mfcc_sma[2];mfcc_sma[3];mfcc_sma[4];mfcc_sma[5];mfcc_sma[6];mfcc_sma[7];mfcc_sma[8];mfcc_sma[9];mfcc_sma[10];mfcc_sma[11];mfcc_sma[12]
68;0.680000;-2.029114e+01;-2.494152e+00;-1.353858e+01;-1.699609e+01;-1.659026e+01;-1.246770e+01;-1.993963e+00;-8.838891e+00;-1.267558e+01;-2.192666e+01;-2.010578e+01;-1.297223e+01
69;0.690000;-2.102238e+01;-4.113998e-01;-1.193804e+01;-1.566351e+01;-1.580309e+01;-1.385231e+01;-3.048892e+00;-6.539951e+00;-1.119131e+01;-2.153175e+01;-2.145632e+01;-1.428807e+01
70;0.700000;-2.112475e+01;5.627557e-01;-1.286990e+01;-1.545852e+01;-1.312147e+01;-9.918047e+00;-8.984874e-01;-8.628222e+00;-1.115336e+01;-2.217433e+01;-1.920400e+01;-1.394762e+01
71;0.710000;-2.130992e+01;-1.388252e+00;-1.339421e+01;-1.617928e+01;-1.157192e+01;-6.632880e+00;-2.461081e+00;-1.076546e+01;-1.318796e+01;-2.398173e+01;-1.799874e+01;-1.188269e+01
72;0.720000;-2.198006e+01;-5.457626e+00;-1.696696e+01;-1.743524e+01;-1.088393e+01;-3.582178e+00;-2.786762e+00;-1.459692e+01;-1.197562e+01;-1.873306e+01;-1.242809e+01;-9.161304e+00
73;0.730000;-2.266444e+01;-6.391198e+00;-1.932005e+01;-1.928905e+01;-1.201935e+01;-5.233739e+00;-1.462335e+00;-1.274215e+01;-1.066909e+01;-1.578968e+01;-1.142679e+01;-1.058528e+01
74;0.740000;-2.234411e+01;-5.278267e+00;-2.038849e+01;-1.633474e+01;-1.270884e+01;-4.522457e+00;2.133305e+00;-9.444707e+00;-6.406655e+00;-1.281185e+01;-1.184318e+01;-1.263289e+01
75;0.750000;-2.249037e+01;-4.090556e+00;-1.958916e+01;-1.615176e+01;-1.399136e+01;-5.332080e+00;4.842039e+00;-3.360375e+00;-7.387319e+00;-1.903575e+01;-1.608007e+01;-1.386278e+01
76;0.760000;-2.305268e+01;-4.299916e+00;-1.960254e+01;-1.786325e+01;-1.309653e+01;-4.506368e+00;7.259551e+00;-5.228046e-01;-5.430753e+00;-1.745033e+01;-1.724891e+01;-1.222743e+01
77;0.770000;-2.297425e+01;-4.176532e+00;-2.130482e+01;-2.080966e+01;-1.410226e+01;-6.367402e+00;9.545391e+00;-6.788877e-01;-5.698801e+00;-1.910628e+01;-1.835776e+01;-1.331255e+01
78;0.780000;-2.147191e+01;-3.030401e+00;-2.171503e+01;-2.140624e+01;-1.429493e+01;-5.782009e+00;1.159459e+01;-4.585289e+00;-5.322216e+00;-1.663784e+01;-1.634953e+01;-1.447741e+01
79;0.790000;-2.052130e+01;-1.759719e+00;-2.145233e+01;-2.317289e+01;-1.584841e+01;-2.230884e+00;1.228297e+01;-5.136151e+00;-3.341650e+00;-1.705037e+01;-1.445781e+01;-1.794438e+01
80;0.800000;-2.096710e+01;-2.066921e+00;-2.067295e+01;-2.459887e+01;-1.402695e+01;1.117136e+00;1.270236e+01;-1.991011e+00;-9.356452e-01;-1.582095e+01;-1.292152e+01;-1.442373e+01
81;0.810000;-2.176901e+01;-3.103796e+00;-1.977855e+01;-2.463192e+01;-1.420460e+01;3.780015e+00;1.371554e+01;2.792177e+00;-1.550588e+00;-1.613013e+01;-1.309714e+01;-1.174610e+01
82;0.820000;-2.216319e+01;-3.779553e+00;-2.106979e+01;-2.311734e+01;-1.480099e+01;3.257268e+00;1.385188e+01;3.383625e+00;-3.621130e+00;-1.514443e+01;-1.308341e+01;-7.548426e+00
83;0.830000;-2.131559e+01;-2.768210e+00;-1.866086e+01;-2.111926e+01;-1.533205e+01;3.424955e+00;1.486761e+01;3.099945e+00;-2.568268e+00;-1.503529e+01;-1.437776e+01;-8.292953e+00
84;0.840000;-2.089466e+01;-1.133428e+00;-1.615217e+01;-1.873291e+01;-1.526293e+01;3.523401e+00;1.367089e+01;3.079482e+00;-1.724725e+00;-2.020831e+01;-1.594275e+01;-1.068001e+01
85;0.850000;-2.039285e+01;-6.947938e-01;-1.286286e+01;-1.592774e+01;-1.377205e+01;4.001586e+00;1.304467e+01;-2.196772e-01;-4.884682e+00;-2.591057e+01;-2.033672e+01;-1.394317e+01
86;0.860000;-2.061401e+01;-4.476898e-01;-1.276816e+01;-1.492635e+01;-1.374517e+01;4.432376e+00;1.026603e+01;-1.481738e+00;-8.188182e+00;-2.666323e+01;-1.905816e+01;-1.579780e+01
87;0.870000;-2.044867e+01;-1.064300e+00;-1.472346e+01;-1.656638e+01;-9.084922e+00;6.222476e+00;9.843494e+00;-7.095071e+00;-7.474975e+00;-2.144018e+01;-1.475650e+01;-1.293995e+01
88;0.880000;-2.025682e+01;3.514146e-01;-1.452245e+01;-1.747663e+01;-7.636806e+00;8.388847e+00;9.970637e+00;-6.789380e+00;-8.122725e+00;-1.986846e+01;-1.020189e+01;-9.184041e+00
89;0.890000;-1.950004e+01;1.374403e+00;-1.323643e+01;-1.579543e+01;-6.174261e+00;9.008128e+00;1.080502e+01;-7.404182e+00;-9.794173e+00;-2.117943e+01;-1.023826e+01;-8.309234e+00
90;0.900000;-1.949030e+01;2.157371e+00;-1.260486e+01;-1.557756e+01;-7.300557e+00;7.712461e+00;9.987439e+00;-2.542650e+00;-1.349322e+01;-2.461441e+01;-1.420569e+01;-9.643835e+00
91;0.910000;-1.916490e+01;2.014133e+00;-1.371400e+01;-1.598379e+01;-6.775438e+00;6.681626e+00;8.857204e+00;-4.581704e-01;-1.424892e+01;-2.577105e+01;-1.363369e+01;-1.131707e+01
92;0.920000;-1.974637e+01;1.489971e+00;-1.508836e+01;-1.701393e+01;-7.176443e+00;6.845519e+00;9.477900e+00;1.328037e+00;-1.382783e+01;-2.515029e+01;-1.177640e+01;-8.031785e+00
